c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71
1,0,0,0,0,0,0,0,0,0,1,0,4,20,0,23,8,0,2,0,0,5,1,0,1,0,0,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,2,0,0,10,8,0,19,14,0,2,6,0,3,4,0,0,1,0,1,0,0,0,0,0,0,3,0
0,1,0,2,0,0,0,0,0,1,0,0,12,9,0,15,9,0,1,4,0,6,1,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,1,0,0,6,9,0,15,16,0,1,2,0,8,6,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,1,0,0,1,1,0,1,0,0,8,14,0,16,5,0,2,4,0,6,2,0,0,1,0,1,0,0,0,0,0,0,3,0,0,1,0,2,2,0,0,2,0,3,1,0,10,14,0,13,9,0,3,5,0,7,4,0,0,0,0,1,0,0,0,1,0,0,1,0
2,0,0,0,1,0,3,1,0,0,0,0,13,19,0,10,7,0,7,6,0,3,2,0,1,0,0,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,23,4,0,4,23,0,5,1,0,2,13,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,0,0,1,0,1,1,0,9,14,29,12,16,4,1,5,2,3,8,0,0,1,0,1,0,0,0,0,1,0,3,1,1,1,0,1,0,0,1,3,0,1,0,0,18,17,0,10,6,0,8,8,0,5,1,0,0,1,0,0,0,0,1,0,0,1,3,0
1,0,0,1,0,0,1,1,0,1,0,0,10,11,0,18,18,0,5,4,0,8,6,0,0,1,0,0,0,0,1,0,0,1,3,0,1,1,0,0,0,0,1,1,0,1,1,0,16,9,0,8,18,0,6,2,0,2,6,0,1,1,0,0,0,0,0,0,0,3,3,0
0,0,0,0,1,0,0,0,0,1,3,0,10,6,0,16,17,0,4,1,0,8,8,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,12,19,0,9,6,0,3,7,0,1,2,0,1,1,0,0,0,0,0,0,0,3,3,0
0,0,0,0,0,0,2,0,0,0,0,0,19,0,0,10,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,2,0,0,0,0,15,18,0,12,6,0,6,6,0,1,3,0,1,1,0,0,0,0,0,0,0,3,3,0
1,0,0,0,0,0,2,0,0,1,2,0,12,6,0,12,14,0,6,2,0,3,4,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,13,0,10,7,0,8,5,0,4,3,0,1,0,0,0,1,0,0,0,0,3,0,0
2,2,0,0,2,0,1,2,0,0,1,0,15,27,0,6,6,0,8,10,0,1,3,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,1,1,0,2,0,0,12,8,0,12,20,0,3,1,0,6,0,0,0,1,0,1,0,0,0,0,0,0,3,0
